dataset,dataset_label,method,method_label,median,mean,p90,p95,max,inf_count,fit_ms,infer_us_q,qps,heap_bytes,heap
synthetic_D2,D2,ProposedCEDEstimator,Proposed,1.0401665000000002,1.0548687733333335,1.1148881000000002,1.1529407499999997,1.509591,0,262.71,19.645,50903.914,131424,128.3 KB
synthetic_D2,D2,GlobalEquiWidthHistogram,EW-Hist,1.161519,1.2927298266666667,1.7004911,2.1309633999999997,5.045214,0,3.977,3.145,317987.436,2192,2.1 KB
synthetic_D2,D2,GlobalEquiDepthHistogram,ED-Hist,1.239122,1.4513507683333333,1.9622811,2.7212733,9.470776,0,20.825,1.029,971469.558,1832,1.8 KB
synthetic_D2,D2,IndependenceEstimator,Indep.,1.8256515,1.9539590399999998,2.8993253,3.3593998499999995,3.990841,0,0.016,1.322,756340.974,0,0 B
synthetic_D5,D5,ProposedCEDEstimator,Proposed,1.1359265,1.1694578566666667,1.3482793000000002,1.43952785,1.997043,0,170.168,30.981,32278.209,403608,394.1 KB
synthetic_D5,D5,GlobalEquiWidthHistogram,EW-Hist,5.913705,17.182889056666667,39.2526309,67.60234014999993,345.927707,0,7.454,0.938,1066433.473,4320,4.2 KB
synthetic_D5,D5,GlobalEquiDepthHistogram,ED-Hist,6.373168,22.184048453333332,47.932261700000026,88.19716309999993,424.693948,0,27.321,0.866,1155299.165,4320,4.2 KB
synthetic_D5,D5,IndependenceEstimator,Indep.,18.8914575,27.142543170000003,57.587935300000005,79.1209832,220.881481,0,0.002,0.492,2030772.98,0,0 B
