dataset,group,queryName,method,actual,estimated,relativeError,qError,fitTimeMs,inferTotalMs,inferPerQueryUs,throughputQps,heapDeltaBytes
synthetic_D2,medium,synthetic_D2_medium_41,ProposedCEDEstimator,2582.0,2609.2550,0.010556,1.010556,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_42,ProposedCEDEstimator,2058.0,2055.4399,0.001244,1.001246,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_43,ProposedCEDEstimator,1363.0,1325.0937,0.027811,1.028607,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_44,ProposedCEDEstimator,1943.0,1834.5188,0.055832,1.059133,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_45,ProposedCEDEstimator,2101.0,2037.8468,0.030059,1.030990,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_46,ProposedCEDEstimator,2620.0,2503.4284,0.044493,1.046565,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_47,ProposedCEDEstimator,1484.0,1462.5832,0.014432,1.014643,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_48,ProposedCEDEstimator,1391.0,1357.3867,0.024165,1.024763,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_49,ProposedCEDEstimator,1829.0,1760.1079,0.037667,1.039141,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_50,ProposedCEDEstimator,1851.0,1796.5276,0.029429,1.030321,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_51,ProposedCEDEstimator,2116.0,2075.5842,0.019100,1.019472,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_52,ProposedCEDEstimator,1822.0,1672.0942,0.082275,1.089652,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_53,ProposedCEDEstimator,1999.0,1998.1639,0.000418,1.000418,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_54,ProposedCEDEstimator,1522.0,1471.7608,0.033009,1.034135,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_55,ProposedCEDEstimator,2021.0,1934.5076,0.042797,1.044710,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_56,ProposedCEDEstimator,1333.0,1324.0488,0.006715,1.006760,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_57,ProposedCEDEstimator,1563.0,1524.3216,0.024746,1.025374,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_58,ProposedCEDEstimator,1908.0,1824.1579,0.043942,1.045962,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_59,ProposedCEDEstimator,1135.0,1052.7141,0.072499,1.078165,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_60,ProposedCEDEstimator,2811.0,2673.4226,0.048943,1.051461,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_61,ProposedCEDEstimator,2789.0,2618.0269,0.061303,1.065306,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_62,ProposedCEDEstimator,1192.0,1011.2712,0.151618,1.178714,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_63,ProposedCEDEstimator,1637.0,1467.8330,0.103340,1.115249,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_64,ProposedCEDEstimator,2189.0,1967.6643,0.101113,1.112487,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_65,ProposedCEDEstimator,1497.0,1466.8837,0.020118,1.020531,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_66,ProposedCEDEstimator,1245.0,1144.6560,0.080598,1.087663,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_67,ProposedCEDEstimator,1986.0,1867.5134,0.059661,1.063446,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_68,ProposedCEDEstimator,1924.0,1895.4813,0.014823,1.015046,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_69,ProposedCEDEstimator,2376.0,2398.1642,0.009328,1.009328,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_70,ProposedCEDEstimator,1124.0,1101.2232,0.020264,1.020683,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_71,ProposedCEDEstimator,2451.0,2278.9072,0.070213,1.075515,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_72,ProposedCEDEstimator,1725.0,1712.0235,0.007523,1.007580,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_73,ProposedCEDEstimator,1584.0,1329.0310,0.160965,1.191846,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_74,ProposedCEDEstimator,1105.0,998.1400,0.096706,1.107059,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_75,ProposedCEDEstimator,1245.0,1119.9467,0.100444,1.111660,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_76,ProposedCEDEstimator,2146.0,2131.6702,0.006677,1.006722,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_77,ProposedCEDEstimator,1896.0,1891.8970,0.002164,1.002169,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_78,ProposedCEDEstimator,1943.0,1714.2663,0.117722,1.133430,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_79,ProposedCEDEstimator,2178.0,2136.2917,0.019150,1.019524,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_80,ProposedCEDEstimator,1017.0,978.6080,0.037750,1.039231,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_81,ProposedCEDEstimator,2517.0,2296.6927,0.087528,1.095924,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_82,ProposedCEDEstimator,2728.0,2559.1128,0.061909,1.065994,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_83,ProposedCEDEstimator,1412.0,1302.2304,0.077741,1.084294,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_84,ProposedCEDEstimator,2389.0,2253.8460,0.056573,1.059966,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_85,ProposedCEDEstimator,2363.0,2391.7251,0.012156,1.012156,262.710,11.787,19.645,50903.914,131424
